Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
557	7.0000	1.3930	1.3675
558	5.0000	0.9950	0.9768
559	3.0000	0.5970	0.5861
560	5.0000	0.9950	0.9768
561	5.0000	0.9950	0.9768
562	3.0000	0.5970	0.5861
563	5.0000	0.9950	0.9768
564	3.0000	0.5970	0.5861
565	5.0000	0.9950	0.9768
566	4.0000	0.7960	0.7814
567	6.0000	1.1940	1.1721
568	3.0000	0.5970	0.5861
569	3.0000	0.5970	0.5861
570	5.0000	0.9950	0.9768
571	7.0000	1.3930	1.3675
572	6.0000	1.1940	1.1721
573	5.0000	0.9950	0.9768
574	5.0000	0.9950	0.9768
575	4.0000	0.7960	0.7814
576	5.0000	0.9950	0.9768
577	5.0000	0.9950	0.9768
578	6.0000	1.1940	1.1721
579	6.0000	1.1940	1.1721
580	7.0000	1.3930	1.3675
581	4.0000	0.7960	0.7814
582	5.0000	0.9950	0.9768
583	3.0000	0.5970	0.5861
584	6.0000	1.1940	1.1721
585	7.0000	1.3930	1.3675
586	5.0000	0.9950	0.9768
587	3.0000	0.5970	0.5861
588	4.0000	0.7960	0.7814
589	3.0000	0.5970	0.5861
590	7.0000	1.3930	1.3675
591	7.0000	1.3930	1.3675
592	3.0000	0.5970	0.5861
593	6.0000	1.1940	1.1721
594	5.0000	0.9950	0.9768
595	4.0000	0.7960	0.7814
596	6.0000	1.1940	1.1721
597	5.0000	0.9950	0.9768
598	3.0000	0.5970	0.5861
599	7.0000	1.3930	1.3675
600	5.0000	0.9950	0.9768
601	6.0000	1.1940	1.1721
602	4.0000	0.7960	0.7814
603	0.0000	0.0000	0.0000
604	7.0000	1.3930	1.3675
605	3.0000	0.5970	0.5861
606	3.0000	0.5970	0.5861
607	7.0000	1.3930	1.3675
608	5.0000	0.9950	0.9768
609	7.0000	1.3930	1.3675
610	5.0000	0.9950	0.9768
611	5.0000	0.9950	0.9768
612	3.0000	0.5970	0.5861
613	7.0000	1.3930	1.3675
614	3.0000	0.5970	0.5861
615	3.0000	0.5970	0.5861
616	7.0000	1.3930	1.3675
617	7.0000	1.3930	1.3675
618	3.0000	0.5970	0.5861
619	7.0000	1.3930	1.3675
620	4.0000	0.7960	0.7814
621	3.0000	0.5970	0.5861
622	4.0000	0.7960	0.7814
623	6.0000	1.1940	1.1721
624	7.0000	1.3930	1.3675
625	6.0000	1.1940	1.1721
626	7.0000	1.3930	1.3675
627	5.0000	0.9950	0.9768
628	4.0000	0.7960	0.7814
629	5.0000	0.9950	0.9768
630	4.0000	0.7960	0.7814
631	3.0000	0.5970	0.5861
632	4.0000	0.7960	0.7814
633	6.0000	1.1940	1.1721
634	5.0000	0.9950	0.9768
635	7.0000	1.3930	1.3675
636	5.0000	0.9950	0.9768
637	7.0000	1.3930	1.3675
638	5.0000	0.9950	0.9768
639	7.0000	1.3930	1.3675
640	4.0000	0.7960	0.7814
641	4.0000	0.7960	0.7814
642	3.0000	0.5970	0.5861
643	7.0000	1.3930	1.3675
644	3.0000	0.5970	0.5861
645	7.0000	1.3930	1.3675
646	7.0000	1.3930	1.3675
647	5.0000	0.9950	0.9768
648	3.0000	0.5970	0.5861
649	3.0000	0.5970	0.5861
650	3.0000	0.5970	0.5861
651	7.0000	1.3930	1.3675
652	7.0000	1.3930	1.3675
653	6.0000	1.1940	1.1721
654	6.0000	1.1940	1.1721
655	3.0000	0.5970	0.5861
656	7.0000	1.3930	1.3675
657	5.0000	0.9950	0.9768
658	7.0000	1.3930	1.3675
659	3.0000	0.5970	0.5861
660	5.0000	0.9950	0.9768
661	3.0000	0.5970	0.5861
662	3.0000	0.5970	0.5861
663	7.0000	1.3930	1.3675
664	3.0000	0.5970	0.5861
665	4.0000	0.7960	0.7814
666	0.0000	0.0000	0.0000
667	0.0000	0.0000	0.0000
668	6.0000	1.1940	1.1721
669	7.0000	1.3930	1.3675
670	5.0000	0.9950	0.9768
671	7.0000	1.3930	1.3675
672	6.0000	1.1940	1.1721
673	7.0000	1.3930	1.3675
674	7.0000	1.3930	1.3675
675	4.0000	0.7960	0.7814
676	5.0000	0.9950	0.9768
677	5.0000	0.9950	0.9768
678	3.0000	0.5970	0.5861
679	7.0000	1.3930	1.3675
680	5.0000	0.9950	0.9768
681	3.0000	0.5970	0.5861
682	7.0000	1.3930	1.3675
683	3.0000	0.5970	0.5861
684	4.0000	0.7960	0.7814
685	4.0000	0.7960	0.7814
686	6.0000	1.1940	1.1721
687	7.0000	1.3930	1.3675
688	3.0000	0.5970	0.5861
689	7.0000	1.3930	1.3675
690	7.0000	1.3930	1.3675
691	7.0000	1.3930	1.3675
692	7.0000	1.3930	1.3675
693	5.0000	0.9950	0.9768
694	3.0000	0.5970	0.5861
695	5.0000	0.9950	0.9768
696	4.0000	0.7960	0.7814
697	6.0000	1.1940	1.1721
698	5.0000	0.9950	0.9768
699	6.0000	1.1940	1.1721
700	6.0000	1.1940	1.1721
701	6.0000	1.1940	1.1721
702	0.0000	0.0000	0.0000
703	7.0000	1.3930	1.3675
704	4.0000	0.7960	0.7814
705	5.0000	0.9950	0.9768
706	6.0000	1.1940	1.1721
707	6.0000	1.1940	1.1721
708	7.0000	1.3930	1.3675
709	6.0000	1.1940	1.1721
710	5.0000	0.9950	0.9768
711	4.0000	0.7960	0.7814
712	5.0000	0.9950	0.9768
713	3.0000	0.5970	0.5861
714	4.0000	0.7960	0.7814
715	3.0000	0.5970	0.5861
716	7.0000	1.3930	1.3675
717	7.0000	1.3930	1.3675
718	5.0000	0.9950	0.9768
