Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
489	6.0000	1.1940	1.1721
490	2.0000	0.3980	0.3907
491	4.0000	0.7960	0.7814
492	6.0000	1.1940	1.1721
493	7.0000	1.3930	1.3675
494	4.0000	0.7960	0.7814
495	3.0000	0.5970	0.5861
496	4.0000	0.7960	0.7814
497	2.0000	0.3980	0.3907
498	5.0000	0.9950	0.9768
499	5.0000	0.9950	0.9768
500	7.0000	1.3930	1.3675
501	6.0000	1.1940	1.1721
502	4.0000	0.7960	0.7814
503	6.0000	1.1940	1.1721
504	4.0000	0.7960	0.7814
505	6.0000	1.1940	1.1721
506	7.0000	1.3930	1.3675
507	6.0000	1.1940	1.1721
508	6.0000	1.1940	1.1721
509	5.0000	0.9950	0.9768
510	4.0000	0.7960	0.7814
511	7.0000	1.3930	1.3675
512	6.0000	1.1940	1.1721
513	7.0000	1.3930	1.3675
514	6.0000	1.1940	1.1721
515	4.0000	0.7960	0.7814
516	2.0000	0.3980	0.3907
517	6.0000	1.1940	1.1721
518	4.0000	0.7960	0.7814
519	2.0000	0.3980	0.3907
520	5.0000	0.9950	0.9768
521	6.0000	1.1940	1.1721
522	6.0000	1.1940	1.1721
523	6.0000	1.1940	1.1721
524	6.0000	1.1940	1.1721
525	3.0000	0.5970	0.5861
526	6.0000	1.1940	1.1721
527	3.0000	0.5970	0.5861
528	3.0000	0.5970	0.5861
529	6.0000	1.1940	1.1721
530	3.0000	0.5970	0.5861
531	6.0000	1.1940	1.1721
532	6.0000	1.1940	1.1721
533	4.0000	0.7960	0.7814
534	7.0000	1.3930	1.3675
535	5.0000	0.9950	0.9768
536	6.0000	1.1940	1.1721
537	4.0000	0.7960	0.7814
538	6.0000	1.1940	1.1721
539	4.0000	0.7960	0.7814
540	6.0000	1.1940	1.1721
541	6.0000	1.1940	1.1721
542	6.0000	1.1940	1.1721
543	4.0000	0.7960	0.7814
544	6.0000	1.1940	1.1721
545	5.0000	0.9950	0.9768
546	3.0000	0.5970	0.5861
547	4.0000	0.7960	0.7814
548	6.0000	1.1940	1.1721
549	4.0000	0.7960	0.7814
550	4.0000	0.7960	0.7814
551	2.0000	0.3980	0.3907
552	3.0000	0.5970	0.5861
553	6.0000	1.1940	1.1721
554	6.0000	1.1940	1.1721
555	3.0000	0.5970	0.5861
556	6.0000	1.1940	1.1721
557	6.0000	1.1940	1.1721
558	6.0000	1.1940	1.1721
559	4.0000	0.7960	0.7814
560	6.0000	1.1940	1.1721
561	6.0000	1.1940	1.1721
562	6.0000	1.1940	1.1721
563	4.0000	0.7960	0.7814
564	6.0000	1.1940	1.1721
565	6.0000	1.1940	1.1721
566	5.0000	0.9950	0.9768
567	5.0000	0.9950	0.9768
568	4.0000	0.7960	0.7814
569	4.0000	0.7960	0.7814
570	6.0000	1.1940	1.1721
571	6.0000	1.1940	1.1721
572	7.0000	1.3930	1.3675
573	4.0000	0.7960	0.7814
574	6.0000	1.1940	1.1721
575	7.0000	1.3930	1.3675
576	4.0000	0.7960	0.7814
577	2.0000	0.3980	0.3907
578	5.0000	0.9950	0.9768
579	3.0000	0.5970	0.5861
580	6.0000	1.1940	1.1721
581	7.0000	1.3930	1.3675
582	4.0000	0.7960	0.7814
583	4.0000	0.7960	0.7814
584	7.0000	1.3930	1.3675
585	6.0000	1.1940	1.1721
586	4.0000	0.7960	0.7814
587	6.0000	1.1940	1.1721
588	5.0000	0.9950	0.9768
589	4.0000	0.7960	0.7814
590	4.0000	0.7960	0.7814
591	6.0000	1.1940	1.1721
592	4.0000	0.7960	0.7814
593	7.0000	1.3930	1.3675
594	6.0000	1.1940	1.1721
595	3.0000	0.5970	0.5861
596	5.0000	0.9950	0.9768
597	6.0000	1.1940	1.1721
598	6.0000	1.1940	1.1721
599	6.0000	1.1940	1.1721
600	6.0000	1.1940	1.1721
601	7.0000	1.3930	1.3675
602	3.0000	0.5970	0.5861
603	3.0000	0.5970	0.5861
604	6.0000	1.1940	1.1721
605	4.0000	0.7960	0.7814
606	4.0000	0.7960	0.7814
607	6.0000	1.1940	1.1721
608	2.0000	0.3980	0.3907
609	6.0000	1.1940	1.1721
610	6.0000	1.1940	1.1721
611	6.0000	1.1940	1.1721
612	4.0000	0.7960	0.7814
613	6.0000	1.1940	1.1721
614	4.0000	0.7960	0.7814
615	6.0000	1.1940	1.1721
616	6.0000	1.1940	1.1721
617	6.0000	1.1940	1.1721
618	6.0000	1.1940	1.1721
619	6.0000	1.1940	1.1721
620	7.0000	1.3930	1.3675
621	6.0000	1.1940	1.1721
622	3.0000	0.5970	0.5861
623	7.0000	1.3930	1.3675
624	6.0000	1.1940	1.1721
625	7.0000	1.3930	1.3675
626	6.0000	1.1940	1.1721
627	6.0000	1.1940	1.1721
628	3.0000	0.5970	0.5861
629	6.0000	1.1940	1.1721
630	5.0000	0.9950	0.9768
631	6.0000	1.1940	1.1721
632	5.0000	0.9950	0.9768
633	3.0000	0.5970	0.5861
634	6.0000	1.1940	1.1721
635	6.0000	1.1940	1.1721
636	6.0000	1.1940	1.1721
637	4.0000	0.7960	0.7814
638	6.0000	1.1940	1.1721
639	6.0000	1.1940	1.1721
640	7.0000	1.3930	1.3675
641	3.0000	0.5970	0.5861
642	6.0000	1.1940	1.1721
643	6.0000	1.1940	1.1721
644	4.0000	0.7960	0.7814
645	4.0000	0.7960	0.7814
646	6.0000	1.1940	1.1721
647	6.0000	1.1940	1.1721
648	4.0000	0.7960	0.7814
