Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
600	3.0000	1.1610	1.1385
601	3.0000	1.1610	1.1385
602	2.0000	0.7740	0.7590
603	0.0000	0.0000	0.0000
604	3.0000	1.1610	1.1385
605	1.0000	0.3870	0.3795
606	2.0000	0.7740	0.7590
607	3.0000	1.1610	1.1385
608	3.0000	1.1610	1.1385
609	3.0000	1.1610	1.1385
610	3.0000	1.1610	1.1385
611	3.0000	1.1610	1.1385
612	2.0000	0.7740	0.7590
613	3.0000	1.1610	1.1385
614	1.0000	0.3870	0.3795
615	2.0000	0.7740	0.7590
616	3.0000	1.1610	1.1385
617	3.0000	1.1610	1.1385
618	2.0000	0.7740	0.7590
619	3.0000	1.1610	1.1385
620	2.0000	0.7740	0.7590
621	2.0000	0.7740	0.7590
622	2.0000	0.7740	0.7590
623	3.0000	1.1610	1.1385
624	3.0000	1.1610	1.1385
625	3.0000	1.1610	1.1385
626	3.0000	1.1610	1.1385
627	3.0000	1.1610	1.1385
628	2.0000	0.7740	0.7590
629	3.0000	1.1610	1.1385
630	2.0000	0.7740	0.7590
631	2.0000	0.7740	0.7590
632	2.0000	0.7740	0.7590
633	3.0000	1.1610	1.1385
634	3.0000	1.1610	1.1385
635	3.0000	1.1610	1.1385
636	3.0000	1.1610	1.1385
637	3.0000	1.1610	1.1385
638	3.0000	1.1610	1.1385
639	3.0000	1.1610	1.1385
640	2.0000	0.7740	0.7590
641	2.0000	0.7740	0.7590
642	2.0000	0.7740	0.7590
643	3.0000	1.1610	1.1385
644	2.0000	0.7740	0.7590
645	3.0000	1.1610	1.1385
646	3.0000	1.1610	1.1385
647	3.0000	1.1610	1.1385
648	2.0000	0.7740	0.7590
649	1.0000	0.3870	0.3795
650	2.0000	0.7740	0.7590
651	3.0000	1.1610	1.1385
652	3.0000	1.1610	1.1385
653	3.0000	1.1610	1.1385
654	3.0000	1.1610	1.1385
655	2.0000	0.7740	0.7590
656	3.0000	1.1610	1.1385
657	3.0000	1.1610	1.1385
658	3.0000	1.1610	1.1385
659	2.0000	0.7740	0.7590
660	3.0000	1.1610	1.1385
661	2.0000	0.7740	0.7590
662	2.0000	0.7740	0.7590
663	3.0000	1.1610	1.1385
664	2.0000	0.7740	0.7590
665	2.0000	0.7740	0.7590
666	0.0000	0.0000	0.0000
667	0.0000	0.0000	0.0000
668	3.0000	1.1610	1.1385
669	3.0000	1.1610	1.1385
670	3.0000	1.1610	1.1385
671	3.0000	1.1610	1.1385
672	3.0000	1.1610	1.1385
673	3.0000	1.1610	1.1385
674	3.0000	1.1610	1.1385
675	2.0000	0.7740	0.7590
676	3.0000	1.1610	1.1385
677	3.0000	1.1610	1.1385
678	1.0000	0.3870	0.3795
679	3.0000	1.1610	1.1385
680	3.0000	1.1610	1.1385
681	2.0000	0.7740	0.7590
682	3.0000	1.1610	1.1385
683	2.0000	0.7740	0.7590
684	2.0000	0.7740	0.7590
685	2.0000	0.7740	0.7590
686	3.0000	1.1610	1.1385
687	3.0000	1.1610	1.1385
688	2.0000	0.7740	0.7590
689	3.0000	1.1610	1.1385
690	3.0000	1.1610	1.1385
691	3.0000	1.1610	1.1385
692	3.0000	1.1610	1.1385
693	3.0000	1.1610	1.1385
694	2.0000	0.7740	0.7590
695	3.0000	1.1610	1.1385
696	2.0000	0.7740	0.7590
697	3.0000	1.1610	1.1385
698	3.0000	1.1610	1.1385
699	3.0000	1.1610	1.1385
700	3.0000	1.1610	1.1385
701	3.0000	1.1610	1.1385
702	0.0000	0.0000	0.0000
703	3.0000	1.1610	1.1385
704	2.0000	0.7740	0.7590
705	3.0000	1.1610	1.1385
706	3.0000	1.1610	1.1385
707	3.0000	1.1610	1.1385
708	3.0000	1.1610	1.1385
709	3.0000	1.1610	1.1385
710	3.0000	1.1610	1.1385
711	2.0000	0.7740	0.7590
712	3.0000	1.1610	1.1385
713	2.0000	0.7740	0.7590
714	2.0000	0.7740	0.7590
715	2.0000	0.7740	0.7590
716	3.0000	1.1610	1.1385
717	3.0000	1.1610	1.1385
718	3.0000	1.1610	1.1385
719	3.0000	1.1610	1.1385
720	2.0000	0.7740	0.7590
721	3.0000	1.1610	1.1385
722	3.0000	1.1610	1.1385
723	1.0000	0.3870	0.3795
724	3.0000	1.1610	1.1385
725	2.0000	0.7740	0.7590
726	2.0000	0.7740	0.7590
727	3.0000	1.1610	1.1385
728	2.0000	0.7740	0.7590
729	3.0000	1.1610	1.1385
730	3.0000	1.1610	1.1385
731	2.0000	0.7740	0.7590
732	3.0000	1.1610	1.1385
733	3.0000	1.1610	1.1385
734	1.0000	0.3870	0.3795
735	3.0000	1.1610	1.1385
736	3.0000	1.1610	1.1385
737	3.0000	1.1610	1.1385
738	3.0000	1.1610	1.1385
739	3.0000	1.1610	1.1385
740	3.0000	1.1610	1.1385
741	2.0000	0.7740	0.7590
742	2.0000	0.7740	0.7590
743	3.0000	1.1610	1.1385
744	3.0000	1.1610	1.1385
745	3.0000	1.1610	1.1385
746	0.0000	0.0000	0.0000
747	2.0000	0.7740	0.7590
748	3.0000	1.1610	1.1385
749	2.0000	0.7740	0.7590
750	3.0000	1.1610	1.1385
751	3.0000	1.1610	1.1385
752	2.0000	0.7740	0.7590
753	2.0000	0.7740	0.7590
754	2.0000	0.7740	0.7590
755	3.0000	1.1610	1.1385
756	3.0000	1.1610	1.1385
757	3.0000	1.1610	1.1385
758	2.0000	0.7740	0.7590
759	1.0000	0.3870	0.3795
760	3.0000	1.1610	1.1385
761	3.0000	1.1610	1.1385
762	3.0000	1.1610	1.1385
763	3.0000	1.1610	1.1385
764	2.0000	0.7740	0.7590
765	2.0000	0.7740	0.7590
766	3.0000	1.1610	1.1385
767	2.0000	0.7740	0.7590
768	2.0000	0.7740	0.7590
