Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
601	12.0000	0.7325	0.7051
602	16.0000	0.9767	0.9402
603	16.0000	0.9767	0.9402
604	19.0000	1.1598	1.1165
605	16.0000	0.9767	0.9402
606	12.0000	0.7325	0.7051
607	14.0000	0.8546	0.8227
608	11.0000	0.6715	0.6464
609	10.0000	0.6104	0.5876
610	12.0000	0.7325	0.7051
611	12.0000	0.7325	0.7051
612	18.0000	1.0988	1.0577
613	16.0000	0.9767	0.9402
614	14.0000	0.8546	0.8227
615	11.0000	0.6715	0.6464
616	15.0000	0.9156	0.8814
617	9.0000	0.5494	0.5289
618	18.0000	1.0988	1.0577
619	12.0000	0.7325	0.7051
620	18.0000	1.0988	1.0577
621	18.0000	1.0988	1.0577
622	11.0000	0.6715	0.6464
623	10.0000	0.6104	0.5876
624	17.0000	1.0377	0.9989
625	14.0000	0.8546	0.8227
626	14.0000	0.8546	0.8227
627	17.0000	1.0377	0.9989
628	16.0000	0.9767	0.9402
629	14.0000	0.8546	0.8227
630	13.0000	0.7936	0.7639
631	16.0000	0.9767	0.9402
632	12.0000	0.7325	0.7051
633	15.0000	0.9156	0.8814
634	18.0000	1.0988	1.0577
635	15.0000	0.9156	0.8814
636	16.0000	0.9767	0.9402
637	14.0000	0.8546	0.8227
638	14.0000	0.8546	0.8227
639	15.0000	0.9156	0.8814
640	14.0000	0.8546	0.8227
641	14.0000	0.8546	0.8227
642	12.0000	0.7325	0.7051
643	22.0000	1.3429	1.2927
644	18.0000	1.0988	1.0577
645	16.0000	0.9767	0.9402
646	16.0000	0.9767	0.9402
647	18.0000	1.0988	1.0577
648	24.0000	1.4650	1.4103
649	9.0000	0.5494	0.5289
650	16.0000	0.9767	0.9402
651	15.0000	0.9156	0.8814
652	15.0000	0.9156	0.8814
653	18.0000	1.0988	1.0577
654	16.0000	0.9767	0.9402
655	14.0000	0.8546	0.8227
656	18.0000	1.0988	1.0577
657	18.0000	1.0988	1.0577
658	12.0000	0.7325	0.7051
659	17.0000	1.0377	0.9989
660	18.0000	1.0988	1.0577
661	11.0000	0.6715	0.6464
662	14.0000	0.8546	0.8227
663	14.0000	0.8546	0.8227
664	20.0000	1.2209	1.1752
665	14.0000	0.8546	0.8227
666	19.0000	1.1598	1.1165
667	14.0000	0.8546	0.8227
668	17.0000	1.0377	0.9989
669	11.0000	0.6715	0.6464
670	16.0000	0.9767	0.9402
671	19.0000	1.1598	1.1165
672	15.0000	0.9156	0.8814
673	18.0000	1.0988	1.0577
674	18.0000	1.0988	1.0577
675	16.0000	0.9767	0.9402
676	15.0000	0.9156	0.8814
677	14.0000	0.8546	0.8227
678	18.0000	1.0988	1.0577
679	16.0000	0.9767	0.9402
680	14.0000	0.8546	0.8227
681	18.0000	1.0988	1.0577
682	16.0000	0.9767	0.9402
683	19.0000	1.1598	1.1165
684	14.0000	0.8546	0.8227
685	16.0000	0.9767	0.9402
686	19.0000	1.1598	1.1165
687	16.0000	0.9767	0.9402
688	17.0000	1.0377	0.9989
689	16.0000	0.9767	0.9402
690	19.0000	1.1598	1.1165
691	15.0000	0.9156	0.8814
692	15.0000	0.9156	0.8814
693	13.0000	0.7936	0.7639
694	18.0000	1.0988	1.0577
695	15.0000	0.9156	0.8814
696	10.0000	0.6104	0.5876
697	18.0000	1.0988	1.0577
698	14.0000	0.8546	0.8227
699	16.0000	0.9767	0.9402
700	16.0000	0.9767	0.9402
701	19.0000	1.1598	1.1165
702	18.0000	1.0988	1.0577
703	17.0000	1.0377	0.9989
704	15.0000	0.9156	0.8814
705	14.0000	0.8546	0.8227
706	16.0000	0.9767	0.9402
707	14.0000	0.8546	0.8227
708	16.0000	0.9767	0.9402
709	17.0000	1.0377	0.9989
710	12.0000	0.7325	0.7051
711	16.0000	0.9767	0.9402
712	16.0000	0.9767	0.9402
713	20.0000	1.2209	1.1752
714	13.0000	0.7936	0.7639
715	19.0000	1.1598	1.1165
716	21.0000	1.2819	1.2340
717	14.0000	0.8546	0.8227
718	16.0000	0.9767	0.9402
719	13.0000	0.7936	0.7639
720	16.0000	0.9767	0.9402
721	14.0000	0.8546	0.8227
722	26.0000	1.5871	1.5278
723	17.0000	1.0377	0.9989
724	18.0000	1.0988	1.0577
725	11.0000	0.6715	0.6464
726	17.0000	1.0377	0.9989
727	16.0000	0.9767	0.9402
728	15.0000	0.9156	0.8814
729	16.0000	0.9767	0.9402
730	17.0000	1.0377	0.9989
731	18.0000	1.0988	1.0577
732	12.0000	0.7325	0.7051
733	17.0000	1.0377	0.9989
734	11.0000	0.6715	0.6464
735	16.0000	0.9767	0.9402
736	16.0000	0.9767	0.9402
737	15.0000	0.9156	0.8814
738	16.0000	0.9767	0.9402
739	18.0000	1.0988	1.0577
740	15.0000	0.9156	0.8814
741	16.0000	0.9767	0.9402
742	14.0000	0.8546	0.8227
743	13.0000	0.7936	0.7639
744	17.0000	1.0377	0.9989
745	18.0000	1.0988	1.0577
746	14.0000	0.8546	0.8227
747	15.0000	0.9156	0.8814
748	15.0000	0.9156	0.8814
749	12.0000	0.7325	0.7051
750	14.0000	0.8546	0.8227
751	15.0000	0.9156	0.8814
752	18.0000	1.0988	1.0577
753	14.0000	0.8546	0.8227
754	17.0000	1.0377	0.9989
755	15.0000	0.9156	0.8814
756	18.0000	1.0988	1.0577
757	14.0000	0.8546	0.8227
758	18.0000	1.0988	1.0577
759	13.0000	0.7936	0.7639
760	14.0000	0.8546	0.8227
761	16.0000	0.9767	0.9402
762	12.0000	0.7325	0.7051
763	16.0000	0.9767	0.9402
764	21.0000	1.2819	1.2340
765	12.0000	0.7325	0.7051
766	18.0000	1.0988	1.0577
767	16.0000	0.9767	0.9402
768	18.0000	1.0988	1.0577
769	17.0000	1.0377	0.9989
770	14.0000	0.8546	0.8227
771	16.0000	0.9767	0.9402
772	16.0000	0.9767	0.9402
773	20.0000	1.2209	1.1752
774	16.0000	0.9767	0.9402
775	14.0000	0.8546	0.8227
776	18.0000	1.0988	1.0577
777	21.0000	1.2819	1.2340
778	13.0000	0.7936	0.7639
779	14.0000	0.8546	0.8227
780	15.0000	0.9156	0.8814
781	20.0000	1.2209	1.1752
782	16.0000	0.9767	0.9402
783	15.0000	0.9156	0.8814
784	18.0000	1.0988	1.0577
785	15.0000	0.9156	0.8814
786	11.0000	0.6715	0.6464
787	15.0000	0.9156	0.8814
788	16.0000	0.9767	0.9402
789	21.0000	1.2819	1.2340
790	16.0000	0.9767	0.9402
791	16.0000	0.9767	0.9402
792	16.0000	0.9767	0.9402
793	12.0000	0.7325	0.7051
794	15.0000	0.9156	0.8814
795	16.0000	0.9767	0.9402
796	16.0000	0.9767	0.9402
797	17.0000	1.0377	0.9989
798	19.0000	1.1598	1.1165
799	16.0000	0.9767	0.9402
800	17.0000	1.0377	0.9989
801	16.0000	0.9767	0.9402
802	18.0000	1.0988	1.0577
803	15.0000	0.9156	0.8814
804	17.0000	1.0377	0.9989
805	17.0000	1.0377	0.9989
806	13.0000	0.7936	0.7639
807	18.0000	1.0988	1.0577
